id,used_mock,skip_reason,label,sentiment,category,post,s1_summary,s1_salient,s1_estimated_risk,s2_text,s2_target,s2_style
10,emulated,,postpartum,neutral,postpartum,My baby isnt even 24 hours old yet and I already have  depression kicking in. Check on your friends giving birth before and afterwards cause we are not ok,Parent reports anxiety spikes at night; notes older sibling care load and identity shift after birth.,older sibling care load; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—older sibling care load, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
11,emulated,,psychotic,neutral,postpartum,"The voices in my head are a constant reminder of my own failures and shortcomings. They never stop, and I can't escape them.",Parent reports fatigue that lingers through the day; notes language barrier at clinic and return-to-work pressure.,language barrier at clinic; return-to-work pressure,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—language barrier at clinic, return-to-work pressure showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
12,emulated,,major depressive,neutral,postpartum,i would like to have a few strong words with major depressive disorder,Parent reports overwhelm when routines collapse; notes colicky evenings and identity shift after birth.,colicky evenings; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—colicky evenings, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
13,emulated,,psychotic,neutral,postpartum,I don't know who I am anymore. The depression has taken over.,Parent reports loneliness when everyone leaves; notes identity shift after birth and formula transition uncertainty.,identity shift after birth; formula transition uncertainty,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—identity shift after birth, formula transition uncertainty showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
14,emulated,,atypical,neutral,postpartum,do i have hypersomnia if i slept more than 10 hours these days kahit dala ng meds? Skskskskskkss kinakabahan aq,Parent reports self-doubt during feeds; notes financial stressors and language barrier at clinic.,financial stressors; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—financial stressors, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
15,emulated,,no,neutral,postpartum,the christmas carol the latest jayne sinclair genealogical mystery is now available enjoy the christmas present of christmas past and christmas yet to come dickens manchester genealogy,Parent reports guilt about not doing enough; notes return-to-work pressure and limited local support.,return-to-work pressure; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—return-to-work pressure, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
16,emulated,,major depressive,neutral,postpartum,"It's like I'm stuck in a pit of despair, unable to climb my way out. The world around me feels like it's moving at a million miles an hour, and I can't keep up.",Parent reports restlessness even when the baby sleeps; notes language barrier at clinic and breastfeeding latch challenges.,language barrier at clinic; breastfeeding latch challenges,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—language barrier at clinic, breastfeeding latch challenges showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
17,emulated,,atypical,neutral,postpartum,@Pokket I have the same problem. Its hypersomnia. It can be a byproduct of ADHD unfortunately. I cant take meds for it either so I sleep 70% of my day away. Its horrible.,Parent reports overwhelm when routines collapse; notes limited local support and colicky evenings; mentions sleep.,limited local support; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m still figuring out what rest looks like with a newborn. The day stacked up into small moments that spilled over—limited local support, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
18,emulated,,psychotic,neutral,postpartum,I feel like I'm trapped in a nightmare. The world around me seems to be getting darker and more sinister by the day. The shadows are closing in and I can't escape them.,Parent reports restlessness even when the baby sleeps; notes return-to-work pressure and moved recently.,return-to-work pressure; moved recently,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—return-to-work pressure, moved recently showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
19,emulated,,atypical,neutral,postpartum,"Sometimes my depression is really hard. Sometimes my antidepressants make it harder. For example, excessive sleepiness  sleeping 18 hours a day. Or feeling absolutely nothing. Being numb and emotionless. Not wanting to live, just wanting to exist in my own bubble.",Parent reports tearfulness without a clear reason; notes older sibling care load and post-cesarean soreness; mentions sleep.,older sibling care load; post-cesarean soreness,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—older sibling care load, post-cesarean soreness showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
20,emulated,,bipolar,neutral,postpartum,"as an adult, in the sense that i am a writer and i have bipolar disorder, yes. not as a child though, though tbh if I did I wouldn't remember it https://t.co/3tZs6A3gS8",Parent reports overwhelm when routines collapse; notes three-hour feeding cycles and financial stressors.,three-hour feeding cycles; financial stressors,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—three-hour feeding cycles, financial stressors showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
21,emulated,,major depressive,neutral,postpartum,"@razzli_ I hear you. I have Major Depressive Disorder, myself. I hope that you feel better soon æŒ€",Parent reports loneliness when everyone leaves; notes formula transition uncertainty and language barrier at clinic.,formula transition uncertainty; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—formula transition uncertainty, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
22,emulated,,bipolar,neutral,postpartum,"I feel like I'm living in a constant state of numbness, like there's no way to feel anything at all. It's like there's no way to find any emotion.",Parent reports worry that I’m not bonding; notes post-cesarean soreness and moved recently.,post-cesarean soreness; moved recently,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—post-cesarean soreness, moved recently showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
23,emulated,,atypical,neutral,postpartum,"Q&A: 
 Quick Question: 
 
 I have symptoms of atypical depression, what should I do? http://bit.ly/h58m4W",Parent reports irritability that turns to remorse; notes short parental leave and sleep fragmentation.,short parental leave; sleep fragmentation,EPDS 5–9 (watchful waiting) – psychoeducation,"I’m learning to slow down when the spiral starts. The day stacked up into small moments that spilled over—short parental leave, sleep fragmentation showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
24,emulated,,postpartum,neutral,postpartum,Someday Im going to write an essay about how the nurses scaring me with safe sleep procedure and SIDS statistics contributed to my severe  depression and I went on to have my second child bed sharing full time and it revived my maternal instinct they took from me,Parent reports loneliness when everyone leaves; notes financial stressors and language barrier at clinic; mentions sleep.,financial stressors; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—financial stressors, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
25,emulated,,no,neutral,postpartum,always with the reps like bruh they ain even that expensive just buy the real ones,Parent reports overwhelm when routines collapse; notes partner on late shifts and colicky evenings.,partner on late shifts; colicky evenings,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—partner on late shifts, colicky evenings showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
26,emulated,,postpartum,neutral,postpartum,@CoreyStrokess I honestly think I still have postpartum depression til this day .. my daughter turns 3 in April ...,Parent reports irritability that turns to remorse; notes formula transition uncertainty and language barrier at clinic.,formula transition uncertainty; language barrier at clinic,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—formula transition uncertainty, language barrier at clinic showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
27,emulated,,postpartum,neutral,postpartum,"Every day feels like a marathon, and I'm constantly exhausted, but I can't seem to rest even when I have the chance.",Parent reports worry that I’m not bonding; notes limited local support and formula transition uncertainty.,limited local support; formula transition uncertainty,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—limited local support, formula transition uncertainty showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
28,emulated,,psychotic,neutral,postpartum,"I feel like I'm standing at the edge of a cliff, with a deep, dark abyss stretching out before me. The fear and despair are paralyzing, and I can't seem to find any way to move forward.",Parent reports overwhelm when routines collapse; notes older sibling care load and identity shift after birth.,older sibling care load; identity shift after birth,EPDS 5–9 (watchful waiting) – psychoeducation,"Today was uneven, but not all of it was hard. The day stacked up into small moments that spilled over—older sibling care load, identity shift after birth showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
29,emulated,,major depressive,neutral,postpartum,"I always wondered why I felt sad  was like éˆ½lol I feel depressed
 
  turns out, I have a literal major depressive disorder meaning I just live with depression.
 
 Like lol oh, thats why.",Parent reports irritability that turns to remorse; notes language barrier at clinic and three-hour feeding cycles.,language barrier at clinic; three-hour feeding cycles,EPDS 5–9 (watchful waiting) – psychoeducation,"Tonight felt heavier than I wanted to admit. The day stacked up into small moments that spilled over—language barrier at clinic, three-hour feeding cycles showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
30,emulated,,atypical,neutral,postpartum,"2 things I found out about myself today. I have Atypical Depression, and Raynaud's phenomenon. Coolbeans.",Parent reports worry that I’m not bonding; notes colicky evenings and limited local support.,colicky evenings; limited local support,EPDS 5–9 (watchful waiting) – psychoeducation,"I noticed my nerves buzzing again even when the room was quiet. The day stacked up into small moments that spilled over—colicky evenings, limited local support showed up again, and I caught myself believing I should be handling it better. I tried a pause: hands on the chair, feet on the floor, breath in for four, out for six. It didn’t fix everything, but it loosened the knot enough to notice the soft parts too—a decent latch, a quiet minute by the window, a smile I didn’t force. I’ll keep expectations gentle, take a short walk, and try again after a pause. One moment at a time is less glamorous than a breakthrough, but it feels true. Tonight I’ll leave a glass of water by the bed and let the next hour be enough.",EPDS 5–9 (watchful waiting) – psychoeducation,first-person postpartum diary
