Post,Label,Category,Sentiment
How my daughter one and Im still dealing with post depression,postpartum,postpartum,neutral
Ive realized this isnt a friendship. I battled postpartum depression twice. Couldnt even shower some days and yet still managed to check on my friends BECAUSE I CARE. I am muting this thread now.,postpartum,postpartum,neutral
seasonal depression + postpartum depression + regular depression has me feeling things I cant even describe anymore,postpartum,postpartum,neutral
Pulling myself out of Postpartum Depression feels like tryna uncover yourself from underneath a ton of bricks and soon as you feel like you are finally at the top of things another ton of bricks come at you.,postpartum,postpartum,neutral
I finally told someone that I might be suffering from postpartum depression.,postpartum,postpartum,neutral
2022 made me more depressed then any year ever like I had postpartum depression and still wasnt this bad,postpartum,postpartum,neutral
"After my last pregnancy I went through depression pretty bad, so this time around Im trying to prepare myself into not slipping into all that madness again. é‰‚ï½ç¬",postpartum,postpartum,neutral
"labor isnt even scaring me, being pregnant aint scaring me too much anymore what Im really worried about depression. That shit is really scary and its really real.",postpartum,postpartum,neutral
Today I start taking medication to help me with postpartum depression and anxiety. Heres to better days ahead,postpartum,postpartum,neutral
Alllllllllllll those doctors in Parmas life and not a single one of them picked up on her postpartum depression. Its frustrating no one helped her when she clearly needed it. The signs were there. They all ignored them. #theresident,postpartum,postpartum,neutral
I think Ive been low key going through postpartum depression but i aint really letting it get to me,postpartum,postpartum,neutral
"The fact that I went through postpartum depression, Covid and a few others things alone with a newborn and almost got lost in it showed me my own strength.",postpartum,postpartum,neutral
if i my kids arent funny its gonna trigger my depression.,postpartum,postpartum,neutral
I couldnt survive postpartum depression a third time. Thats why Ive made the decision to not bring any more kids into this world. If anything Im adopting or doing foster care when I can get my life together î™ƒå¾“ being a mother is more than DNA Ðš,postpartum,postpartum,neutral
Postpartum depression is slowly creeping in on me.,postpartum,postpartum,neutral
Postpartum depression is real. I went through it,postpartum,postpartum,neutral
"I am a young mom that deals with postpartum depression so Im really passionate about this. I know what troubles I faced in these last 4 years of being a mom from finding resources to help cope, paying for therapy and so much more.",postpartum,postpartum,neutral
@hanfjob I always say my postpartum depression is 34 because my mother had me 34 years ago and Ive been depressed ever since. æ§ˆ,postpartum,postpartum,neutral
pls help me overcome my postpartum depression after witnessing this dokyeom's SEXY GORGEOUS STYLE LIKE MAN HOW COME????? https://t.co/1Zpmsj9Q4j,postpartum,postpartum,neutral
UNDERSTANDING? I always understand you whenever you leave me/us and have a good time with other people! But did u try to understand me esp when I give birth? I am suffering from postpartum depression but u give me more! thank u å¸€,postpartum,postpartum,neutral
"The healthcare system in the United States is AWFUL. I am suffering from some pretty bad Postpartum depression, I've called 3 different doctors, telling them I'm in despair and need help NOW, and get told soonest appointment is in December. Mental Health really is a joke..",postpartum,postpartum,neutral
"Sometimes I think because I hide it and carry it so well, people forget that I am indeed still suffering from postpartum depression.",postpartum,postpartum,neutral
"I don't know if it can help but if I am suffering from postpartum depression can I really cope without medication or not??
 #mentalillness",postpartum,postpartum,neutral
"@PulteDaily @pulte @Dream This would be life changing for anyone. Ive been scammed, kicked by cancer, and suffering from severe Postpartum depression and anxietyçŒž and yet I am still trying to be hopeful when all seems dark. $AlyKat418 I pray for a ch",postpartum,postpartum,neutral
I am a new mother and I am suffering from #postpartum depression. I'd love to talk with other moms who are either in this situation or who have made it through.,postpartum,postpartum,neutral
"I AM SUFFERING FRoM POSTPARTUM DEPRESSION JUST BECAUSE OF THE TENSIONS of RESTRICTION Ban FOR MY HUSBAND TO COME HOME! OUR SON IS 5 MONTHS NOW AND HE NEVER SAW HIS DAD IM CRYING EVERYTIME AND NOT HAVING MONEY TO BUY THE NEEDS OF MY SON, we keep on fighting THANK YOU! @dododulay",postpartum,postpartum,neutral
@DennisAndSpace The lockdowns...the fucking lockdowns. I am losing my mind over here suffering from postpartum depression and not é‰being allowedé‰‚ to see my family. FUCK THE GOVERNMENT,postpartum,postpartum,neutral
"@phytorite @WeedWeekNews Indeed they should!!
 I had been suffering from Postpartum depression until I was prescribed marijuana
 I was not very welcoming to this idea but my doctor suggested me to read this article and it changed my perception: https://t.",postpartum,postpartum,neutral
"@wild_faerie That looks wonderful!
 I was suffering from postpartum depression before I found medicinal marijuana. I read this article suggested by my doctor: https://t.co/7Z0DmugCPC 
 Now I have been consuming medical marijuana for the last 4 months and ",postpartum,postpartum,neutral
"I thought I was in the clear but here I am, 11 weeks postpartum admitting that I am suffering from postpartum depression.",postpartum,postpartum,neutral
"I developed panic attacks from Postpartum Depression. I am steadfast in normalizing talking about mental illness in my life. Im not ashamed, its a thing I deal with. If you are suffering, talk to me. We are all surviving this shitstorm in our bubbles. Reach out. I dont judge",postpartum,postpartum,neutral
"I honestly think Ive been suffering from Postpartum depression for the past 4 years, but Im so used to operating at this level that Ive just chalked it up to thats who I am. 
 
 But..... oh but.... https://t.co/bZ6QhG4Viq",postpartum,postpartum,neutral
I don't know if I am suffering from postpartum depression or my old anxiety definitely killing me now.,postpartum,postpartum,neutral
@Moonsalala Im spending less time on here as I believe I am suffering from some postpartum depression that is pretty bad. I find myself on here reading mindlessly-not even really absorbing anything. Everyone just hating and yelling about everything.,postpartum,postpartum,neutral
"Im finally at a point where Im willing to admit that I am indeed suffering from postpartum depression, and it is indeed kicking my ass (most days).",postpartum,postpartum,neutral
@danjlevy Oh. My. God!! Youre in Pittsburgh?! If you only knew how utterly obsessed I have just become with you in like the past week. You have LITERALLY saved my life. I am suffering from some severe postpartum depression and Schitts Creek is the o,postpartum,postpartum,neutral
"@_SegoSays To an extent (a very small one), I also feel him. But only coz I was suffering from postpartum depression. I am however over it now but yoh this man is beyond it imo æ§¶",postpartum,postpartum,neutral
My mental health. Its been a crazy ride since I became a mother. Suffering from postpartum depression is no joke. Im so thankful I got the help I needed {finally} through therapy and medicationçŒž I am in a MUCH happier place. #30daysofgratitude #mentalhealth https://t.co/MkVKBv3HgT,postpartum,postpartum,neutral
How many women will admit this. I am suffering from postpartum depression and I am also a first time mom and a single one at that.. Its not easy to live my life everyday,postpartum,postpartum,neutral
"I am a  woman suffering from postpartum depression hepped up on Adderall tweeting from 2 different accounts pretending to be 'helping' the community, when in actuality i enjoy playing sides for my own sadistic amusement.",postpartum,postpartum,neutral
I finally am coming to the realization that I believe I am suffering from postpartum depression. Ive been denying it for weeks but Im ready to face the facts now.,postpartum,postpartum,neutral
@SouthernKeeks Thank you for sharing. I am currently suffering from postpartum depression and to see people that I admire say that they have faced their own demons makes me feel like some day it will be better for me as well.,postpartum,postpartum,neutral
I am suffering from postpartum depression -Cardi B reveal-https://t.co/xTw5XB93co,postpartum,postpartum,neutral
@chrissyteigen I am 5 months post delivery and SUFFERING from postpartum depression how did you do it???æ§´æ§´æ§´,postpartum,postpartum,neutral
"@LysaTerKeurst Amen, Amen. I am a new first time mom suffering from schizoaffective disorder, PTSD, and postpartum depression. Sometimes it seems like I am drowning in pain all alone. But ultimately, God is here with me. He is carrying me through.",postpartum,postpartum,neutral
I am suffering from postpartum depression æ§˜,postpartum,postpartum,neutral
"I am supporting mothers suffering from Postpartum Depression. 
 and it is our duty to make it conducive for mothers to be able to speak about how they feel. 
 
 #YourSecondHome",postpartum,postpartum,neutral
Or I am just suffering from postpartum depression....,postpartum,postpartum,neutral
Hi my name is Camellia I am suffering from postpartum depression and anxiety. #iwanttodie #ohthatmomlife #momlife #flm2017,postpartum,postpartum,neutral
"Idk if I did or if I still am suffering from postpartum depression, but I feel like I am! I never had that support I needed while I was..",postpartum,postpartum,neutral
I need advice and tips on weaning my 14 month old. I have been suffering from postpartum depression and I am at a... https://t.co/xPc8zQwgSE,postpartum,postpartum,neutral
Prenatal and postpartum depression: I am suffering from postpartum insomnia and depression. I've been thinking... https://t.co/72MgvC1Gzp,postpartum,postpartum,neutral
#BellLetsTalk 2/2 I am not sure if I am suffering from postpartum depression again after having my youngest son who will be 2soon,postpartum,postpartum,neutral
@ErinBurnett @CNN wants to know: could the female Islamic terrorist have been suffering from postpartum depression? OMG. I am SO sure.,postpartum,postpartum,neutral
Anon asks~ I think I am suffering from postpartum depression and anxiety and really need to see a therapist. I... https://t.co/m5GbZraOT9,postpartum,postpartum,neutral
"Me: I am suffering from Postpartum Depression.
 Shocked doctor: Ugh . . .çŒž https://t.co/ChBmq8gCh4",postpartum,postpartum,neutral
Truth is.. I been suffering from postpartum depression  I'm just now getting back to the root of who I am *,postpartum,postpartum,neutral
"I am suffering from severe postpartum depression except instead of giving birth, my vacation is over...",postpartum,postpartum,neutral
"Not that I am suffering from postpartum depression, but I just want to sit in my shower and cry. Like right now.",postpartum,postpartum,neutral
Eating those #KFC Chicken Littles so much lately made me take a huge dump just now. I think I am suffering from postpartum depression now.,postpartum,postpartum,neutral
i am suffering from severe postpartum depression,postpartum,postpartum,neutral
"I am already suffering from depression, I don't know how I'm going to deal with postpartum depression too ):",postpartum,postpartum,neutral
@DonnieWahlberg You could present me with a FOLLOW today is one month's show. I am suffering from postpartum depression show hahaha,postpartum,postpartum,neutral
"I think I am suffering from postpartum depression, my kids are 10. Is this possible our do I just hate kids? Need an answer quickly.",postpartum,postpartum,neutral
"I am #Autofollow A 30-year-old Indian American pharmacist, suffering from postpartum depression,... http://t.co/9790CSMx #teamfollowback",postpartum,postpartum,neutral
"Redding Job: Mom Needs Help! - Redding, CA: I am suffering from postpartum depression and I'm looking for someo... http://t.co/HwJW3OD0",postpartum,postpartum,neutral
I hate Chefette! I just took a shit that was soooo big that I am now suffering from postpartum depression.,postpartum,postpartum,neutral
"I just took a dump so big, I am suffering from postpartum depression. What can I do to keep from going crazy and killing my family?",postpartum,postpartum,neutral
"@kat_peterson Made 1 of the strawberry pie recipes you posted, last night. So good! I am suffering from severe postpartum depression today.",postpartum,postpartum,neutral
"RT @Tymlee: You know, I think I am suffering from postpartum depression .. it just didn't kick in until my kids turned into teenagers. :-)",postpartum,postpartum,neutral
"You know, I think I am suffering from postpartum depression .. it just didn't kick in until my kids turned into teenagers. :-)",postpartum,postpartum,neutral
"Struggling: 
  I am suffering from postpartum depression, I'm obsessing over my son's hair loss, and when I'm not.. http://bit.ly/qvHQe",postpartum,postpartum,neutral
"After self reflection I think I have postpartum depression and Im tired. I get up everyday and try to do something proactive because if I dont I would want to lay in the bed all day, so I just overexert myself and turned to sweets.",postpartum,postpartum,neutral
my silliest trait is that i have like the collector's version of postpartum depression like i have such a complex abt my dolls and stuffies. ive dropped some bc im clumsy and i neglect them in general bc of my mental illness and it genuinely causes me so much grief and anxiety,postpartum,postpartum,neutral
"@ReezyResells I have a daughter, shes my world. Ive also experienced postpartum depression, postpartum anxiety, postpartum rage, financial struggles, full time stay at home mom life, with no help/no village. I æŒ´ support anyone that chooses a chil",postpartum,postpartum,neutral
"@AbbyJohnson Sweet heart, I am a Christian and I have postpartum depression. I cant pray that away.",postpartum,postpartum,neutral
"@TheBertOfficial And what do you think they did there to make them é‰straighten upé‰‚? ï¿½
 
 I have ADHD, postpartum depression and a history of eating disorders, do you think I should be tortured in an asylum?",postpartum,postpartum,neutral
@inmyhauntedhome i definitely experienced postpartum depression but when it escalated i was diagnosed with postpartum psychosis and looking back it just doesnt make sense. the episode i has was identical to the meltdowns i have now and it was triggered,postpartum,postpartum,neutral
Im pretty sure I have postpartum depression and its been rough. I been super open about it cause its so common and not talked about enough.,postpartum,postpartum,neutral
I have postpartum depression,postpartum,postpartum,neutral
I came to the realization that I indeed did experience Postpartum depression. Because I just noticed lately I have cried in like a week ã‚²,postpartum,postpartum,neutral
"@BlkMamasMatter I am participating bc I am an inspiring doula. I have a BSW degree, the numbers in Ohio are outrageous. Also because I experienced postpartum depression and I know if I had better support mentally I may have been able to bounce back strong",postpartum,postpartum,neutral
Google told me i have postpartum depression,postpartum,postpartum,neutral
"coming out of the fog of postpartum depression has been such a life changing transition. Im finally feeling better, finally feeling like I have a grip, and finally feeling like anything other than a shell of a human being. I matter. It feels good to feel good again.",postpartum,postpartum,neutral
"@RamzZy_ Patient: I'm so depressed... I have postpartum depression,my husband isn't helping at all and I might be suicidal
 Therapist: have you tried praying?æ§•",postpartum,postpartum,neutral
honestly tho. 2016/now. 2016 was the last version of me that i knew before the postpartum depression took over and ruined my life for 3 years. this undercut may or may not have been a cry for help (this pic is so bad but it's my only proof it happened lol) https://t.co/26Osgo3uK3,postpartum,postpartum,neutral
"Fallout 4. It was there for me at a time I really needed it. Through postpartum depression, night feeds, anxiety, insomnia, and it gave me a creative way to get my soul back when I thought I was lost. 
 
 Other games have come close, but that one feels like home to me.",postpartum,postpartum,neutral
@NNMChris I was dealing with some severe postpartum depression all I did was start bawling and ran out to the car. If that shit happened when I was in my right mind it would have been a whole diff ball game,postpartum,postpartum,neutral
Finally accepting that I have postpartum depression after my ectopic pregnancy last year ugh,postpartum,postpartum,neutral
@porn_horse no i have postpartum depression now,postpartum,postpartum,neutral
i already be feeling like i have postpartum depression most days and be ready to snap on anybody bout anything.. i just pray it dont be my folks i snap on æ§±æ§±,postpartum,postpartum,neutral
Is that all you demanded of Trudeau? How about eliminating cancer and postpartum depression? I might have thrown in climate change but you probably dont believe in that any way.,postpartum,postpartum,neutral
Thats not how the constitution works. You dont get to pick  choose. Who gets to decide whos mentally ill? People could say Veterans have a higher suicide/depression rate. Do they count? Ive struggled with postpartum depression  anxiety. Should I not be allowed to buy a gun?,postpartum,postpartum,neutral
I think I have postpartum depression,postpartum,postpartum,neutral
"Allow me to reintroduce myself, I am Katrina Cook. I am a preemie mom, and I am also a full term mom. I also have postpartum depression. However, due to a recent mental episode, I have realized again, that I am more than mom. #mom is my favorite titlçŒž https://t.co/5vhPSKG4Y3 https://t.co/k6dDlsdQjW",postpartum,postpartum,neutral
Transparency moment. I think I have postpartum depression æ§±,postpartum,postpartum,neutral
"@Kiala @Maladroithe like damn if my postpartum depression could have been cured with attention I'D HAVE NEVER GOTTEN IT IN THE FIRST PLACE, I'M AN EXTREMELY ONLINE ACTORæ§€",postpartum,postpartum,neutral
"After having my son, surviving postpartum depression, I do have pockets of time Ive mentally lostçŒž as well as currently missing random info. Memory feels shot sometimes",postpartum,postpartum,neutral
"I have allowed postpartum depression to take over me in every aspect I can think of, Im ready to take my life back æŒ´",postpartum,postpartum,neutral
@1_who_luvs_all @ThomasRichmond Thank you. And dont be sorry! I feel the same way. I have severe depression and postpartum depression is even worse and it's crazy to me how they can just cut off my medication like that with no warning æ§¬ it's so wrong.,postpartum,postpartum,neutral
Ooooh do I have a story about a certain parenting site that in the depths of my postpartum depression  w/a note from my psychiatrist told me they couldnt facilitate WFH for my mental health cuz it would é‰disrupt the editorial process.é‰‚ Months later Covid hit  everyone was WFH,postpartum,postpartum,neutral
"@JellyCraven I always knew I wanted kids. I have an amazing son now and I wouldnt change a thing, even if I had been diagnosed before I had him. A second kid though? Im not as sure, due to my postpartum depression last time. It was rough. Idk if I c",postpartum,postpartum,neutral
Apparently my in laws don't think I appreciate my husband enough... especially during a time when he just told them that I have been absolutely spiraling into my postpartum depression.,postpartum,postpartum,neutral
Almost 2 months postpartum and Ive hit that wall of postpartum depression. At least I have a good support system good friends family and coworkers,postpartum,postpartum,neutral
I have postpartum depression from my own birth.,postpartum,postpartum,neutral
"@xakana What type of ED do you have? Message me if you need anything! I had anorexia nervosa 1.5-2 years ago, caused by postpartum depression. It sucked.",postpartum,postpartum,neutral
"Im grateful that my postpartum depression/anxiety has gotten better, but sometimes I still have those moments where I just get so sad  cry.",postpartum,postpartum,neutral
@inallmydreams13 The only tour I have missed was 1989 because I was suffering from severe postpartum depression. Im still holding out hope I can get 2 tickets for me and my now 8 year old daughter. Her first show was the Reputation tour æž»,postpartum,postpartum,neutral
"At this moment mood is very depressed, I'd have to postpartum depression",postpartum,postpartum,neutral
Tbh I know my postpartum depression had to have been really bad because when I tell you I dont remember anything for that whole first yearçŒž..,postpartum,postpartum,neutral
"if the pandemic never happened, i definitely think that my postpartum depression wouldnt have been nearly as severe as it was. it played a massive part in my mental health being the way it was in 2020/2021",postpartum,postpartum,neutral
"@TheJimWeights @jennyalaking So sorry Jim æ§˜ Postpartum depression really changes a woman. I went through it with my 3rd, and I cant even describe it. Its rough on the loved ones who have to watch it and cant help æ§˜",postpartum,postpartum,neutral
"Postpartum depression is beating my ass and Im afraid if I send my son with my mom, itll win and he wont have a mom",postpartum,postpartum,neutral
"postpartum depression has been coming in hot for the past couple weeks now and i really do not have time or spoons for a twitter battle on top of it, so i'm gonna walk away from this one. somebody else feel free.",postpartum,postpartum,neutral
@The_Seeadler i'm already deep into fighting off postpartum depression and i just do not have spoons for this right now but yeah i'll be fine,postpartum,postpartum,neutral
"Ive been going through postpartum depression so bad  No one has noticed, but they have so much to say about the way Ive been . I cant help it Im battling my mind every day , I feel like Im failing at life most days I just want to turn my phone off",postpartum,postpartum,neutral
Shame I can already tell that postpartum depression is gonna have me in a CHOKEHOLDæ§¶æ§¶æ§¶æ§¶æ§¶,postpartum,postpartum,neutral
"@SteveSkojec @JeremyDBoreing I have two kids, now 5 grandkids. I would have had more but I suffered from severe postpartum depression after my second. 
 I couldnt go through it again. 
 My kids were fun, all the way through into adulthood. They are sti",postpartum,postpartum,neutral
Fighting postpartum depression while being my daughters mom and dad both is so hard. She deserves the world  a happy mama. So Ill do whatever I have to. Im just exhausted.,postpartum,postpartum,neutral
Idc it is sickening that I spent 9 months creating a human to only get 6 weeks off work. Also having depression and still suffering with it  still have to go back to work. So excited for Thursday (not),postpartum,postpartum,neutral
"@IanBohen While exercise is definitely important, and has helped me a lot in the past, I wouldn't have been able to overcome my postpartum depression without the right medication. A combo of the two worked well for me.",postpartum,postpartum,neutral
I see why women have postpartum depression,postpartum,postpartum,neutral
Can you have delayed postpartum depression or am I just going through a lot ?!?! æ§±æ§±æ§¶,postpartum,postpartum,neutral
"@CruellaDKill Personally, my anxiety skyrocketed and the lack of social connection or ability to lean on support networks led to some postpartum depression that I am confident would not have happened otherwise.",postpartum,postpartum,neutral
"@SophRossss I can understand some of these steps, but if my OB pushed this on me when I said I am clearly going through postpartum depression (summer of 2020), I know that this type of regimen would have just sent me running. By that point, I knew I neede",postpartum,postpartum,neutral
"I had an SA a little over 3 weeks ago so almost a month ago. Since then, my anxiety and depression have pretty much been going on unchecked. I was prepared for all the typical symptoms of postpartum depression, but not about the abortion itself.",postpartum,postpartum,neutral
"@adamfare1996 I have BPD, bulimia and probably postpartum depression and PTSD. In a regional area so its extra tricky to find someone willing to treat me. Im tired of being put in the é‰too hardé‰‚ basket",postpartum,postpartum,neutral
@travisaundiaye @kambamfam_ I am a woman. Fuck your stats and all that good shit. I have had postpartum depression more than once. When you are capable of carrying and bearing kids let me know how it goes afterwards,postpartum,postpartum,neutral
@M0onl1gh101 I got postpartum depression. I have several questions,postpartum,postpartum,neutral
Same here but we have to be strong for each other Im still going through postpartum depression and its killing me to have to fake a smile and everything to tell people that Im okay knowing that Im not its crazy but thats how we have to be especially since we have kids now.,postpartum,postpartum,neutral
"Pretty sure I have postpartum depression.
 
 No I'm not 100% sure. Feels like it tho based on what I read about it.
 
 Yes it can happen to men.
 
 No, there's currently nothing to worry about.
 
 Yes, I'll be fine. é‰å²‹ç¬æ§‘æ•Ÿ",postpartum,postpartum,neutral
@Giacki0671 The only postpartum I have is postpartum depressionéˆ½çŒ´ç¬,postpartum,postpartum,neutral
"I was treated for postpartum depression although I didn't have it. (No disrespect to those who do and yes, I understood I was at greater risk so thx for the enhanced screening) 
 
 I realize it's the wrong treatment, drop out and what do I get, retaliation.",postpartum,postpartum,neutral
"Yep  even though my bf couldnt relate he always listened to me, let me vent  always helped me without me having to ask especially when I was dealing with postpartum depression. Im glad Im one of the 1st of my friend group to have kids cuz they can always call me for advice",postpartum,postpartum,neutral
watching my roommates dog everyday is making me feel like I have postpartum depression like I'm so sick of this dog and it's constantly making a mess out if everything but it's only 2 years old and can't help itself and my roommates at work bro I'm gonna commit sbs on myself,postpartum,postpartum,neutral
"@EugeniaLeigh @TIME I struggled with postpartum depression when my son was first born, and what I would have given to hear that everything I was feeling during that weird and dark time was valid and perfectly normal. Thank you so much for writing thisæŒ’",postpartum,postpartum,neutral
I know people have postpartum depression and anxiety but has anyone else had postpartum rage ç·,postpartum,postpartum,neutral
"I just knew this started being delusional ever since he called postpartum depression é‰acting funnyé‰‚. 
 You have to be utterly stupid to think like that, because yeah, you need to trigger the other gender. Always in your bubble of foolishness. Wear it like a badge, lieutenant.",postpartum,postpartum,neutral
at the time my postpartum depression was at its worst. I couldnt tell what was reality and what wasnt  I had moments of postpartum psychosis. When I say I have no idea how I found strength to pull myself together Im not lying. Would never wish anyone to experience what I did,postpartum,postpartum,neutral
"Between my postpartum depression, a good friend passing today and then finding out my best friends mom (like a mom to me) doesnt have much time left after battling brain cancer. Im mentally fucked rn dude. Im a mess.",postpartum,postpartum,neutral
Am I suffering from postpartum depression thats why everything sucks or everything sucks thats why I have postpartum depression?,postpartum,postpartum,neutral
@LexiDarkk One analysis of this site is that I have postpartum depression æ§€æ§¶ãƒ,postpartum,postpartum,neutral
"@Dunne4me I had very bad postpartum depression bordering on psychosis (18 year ago). 
 Effexor saved me. 
 (Trazodone is not the med I would have gone with here. But thats just me. Of course, you want to speak to a doctor about these things)",postpartum,postpartum,neutral
"@jarpad I had postpartum depression that didn't fully lift until my son was almost 5, when my husband died. I have been 3 years learning to navigate life as a widow and single parent. It's been mentally crushing at times, but the support of family and fri",postpartum,postpartum,neutral
I know ima have postpartum depression when I give birth .. not gonna want anyone near me,postpartum,postpartum,neutral
"@la_rue24 @Noone86595893 @DellieAndrew @chelseahandler I had postpartum depression. There have been very tough days. 
 
 Parenting isnt easy, youre right.
 
 However taking responsibility/sacrifice for the bigger picture isnt supposed to always b",postpartum,postpartum,neutral
i have the worst postpartum depression!,postpartum,postpartum,neutral
"I had depression 18 years ago....I have a very stressful job, I raised 3 kids, went through a divorce,  was diagnosed with MS....more  more meds were added until the last 6 months when I asked myself, WHY? https://t.co/MBy67WoFwL",postpartum,postpartum,neutral
